SCENE_ID,PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,DATE_ACQUIRED,COLLECTION_NUMBER,COLLECTION_CATEGORY,SENSING_TIME,DATA_TYPE,WRS_PATH,WRS_ROW,CLOUD_COVER,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,TOTAL_SIZE,BASE_URL
LE70140542018350EDC00,LE07_L1TP_014054_20181216_20181216_01_RT,LANDSAT_7,ETM,2018-12-16,01,RT,2018-12-16T15:44:19.0729774Z,L1TP,14,54,19.0,9.6337,7.73034,-83.94536,-81.73093,226347656,gs://gcp-public-data-landsat/LE07/01/014/054/LE07_L1TP_014054_20181216_20181216_01_RT
LE70140532019337EDC00,LE07_L1TP_014053_20191203_20191229_01_T2,LANDSAT_7,ETM,2019-12-03,01,T2,2019-12-03T15:30:34.8932590Z,L1TP,14,53,49.0,11.08852,9.17447,-83.64619,-81.42236,199103467,gs://gcp-public-data-landsat/LE07/01/014/053/LE07_L1TP_014053_20191203_20191229_01_T2
LE70160532006059ASN00,,LANDSAT_7,ETM,2006-02-28,PRE,N/A,2006-02-28T15:50:41.4278095Z,L1T,16,53,9.0,11.07781,9.17041,-86.69325,-84.54965,171138520,gs://gcp-public-data-landsat/LE07/PRE/016/053/LE70160532006059ASN00
LC80160522018212LGN00,LC08_L1TP_016052_20180731_20180814_01_T1,LANDSAT_8,OLI_TIRS,2018-07-31,01,T1,2018-07-31T15:59:29.4274260Z,L1TP,16,52,69.8,12.61532,10.50961,-86.2972,-84.20481,1033290081,gs://gcp-public-data-landsat/LC08/01/016/052/LC08_L1TP_016052_20180731_20180814_01_T1
LC80150542018125LGN00,LC08_L1TP_015054_20180505_20180517_01_T1,LANDSAT_8,OLI_TIRS,2018-05-05,01,T1,2018-05-05T15:53:56.2250299Z,L1TP,15,54,94.55,9.72565,7.61914,-85.39724,-83.32571,893594654,gs://gcp-public-data-landsat/LC08/01/015/054/LC08_L1TP_015054_20180505_20180517_01_T1
LE70160532013254ASN00,,LANDSAT_7,ETM,2013-09-11,PRE,N/A,2013-09-11T15:56:12.4888278Z,L1T,16,53,91.0,11.06694,9.18081,-86.67958,-84.48388,134090623,gs://gcp-public-data-landsat/LE07/PRE/016/053/LE70160532013254ASN00
LE70140531999186EDC00,LE07_L1TP_014053_19990705_20170218_01_T1,LANDSAT_7,ETM,1999-07-05,01,T1,1999-07-05T15:40:59.4352854Z,L1TP,14,53,60.0,11.07492,9.1694,-83.59668,-81.4442,192709295,gs://gcp-public-data-landsat/LE07/01/014/053/LE07_L1TP_014053_19990705_20170218_01_T1
LT50160531996328AAA02,,LANDSAT_5,TM,1996-11-23,PRE,N/A,1996-11-23T15:21:46.7920500Z,L1G,16,53,60.0,11.05056,9.1482,-86.59497,-84.47305,134571756,gs://gcp-public-data-landsat/LT05/PRE/016/053/LT50160531996328AAA02
LE70140532003357EDC01,LE07_L1GT_014053_20031223_20170123_01_T2,LANDSAT_7,ETM,2003-12-23,01,T2,2003-12-23T15:37:05.8540591Z,L1GT,14,53,29.0,11.09116,9.16925,-83.61877,-81.46877,152141431,gs://gcp-public-data-landsat/LE07/01/014/053/LE07_L1GT_014053_20031223_20170123_01_T2
LT50150541998182AAA01,LT05_L1TP_015054_19980701_20161223_01_T1,LANDSAT_5,TM,1998-07-01,01,T1,1998-07-01T15:32:54.0420310Z,L1TP,15,54,64.0,9.62266,7.71908,-85.41318,-83.29682,109412612,gs://gcp-public-data-landsat/LT05/01/015/054/LT05_L1TP_015054_19980701_20161223_01_T1
LT50160521990007CPE03,LT05_L1TP_016052_19900107_20170201_01_T1,LANDSAT_5,TM,1990-01-07,01,T1,1990-01-07T15:22:52.3450810Z,L1TP,16,52,57.0,12.50703,10.62106,-86.38197,-84.24459,138449187,gs://gcp-public-data-landsat/LT05/01/016/052/LT05_L1TP_016052_19900107_20170201_01_T1
LE70140532012014ASN00,,LANDSAT_7,ETM,2012-01-14,PRE,N/A,2012-01-14T15:42:15.7269965Z,L1T,14,53,74.0,11.07765,9.17728,-83.63237,-81.43056,183843403,gs://gcp-public-data-landsat/LE07/PRE/014/053/LE70140532012014ASN00
LE70150542013327EDC00,LE07_L1TP_015054_20131123_20161119_01_T1,LANDSAT_7,ETM,2013-11-23,01,T1,2013-11-23T15:51:02.5021994Z,L1TP,15,54,34.0,9.62286,7.73778,-85.45663,-83.26681,203921086,gs://gcp-public-data-landsat/LE07/01/015/054/LE07_L1TP_015054_20131123_20161119_01_T1
LT50160521989308CPE00,LT05_L1GS_016052_19891104_20170201_01_T2,LANDSAT_5,TM,1989-11-04,01,T2,1989-11-04T15:24:51.7770440Z,L1GS,16,52,79.0,12.48556,10.64102,-86.49164,-84.36064,152882934,gs://gcp-public-data-landsat/LT05/01/016/052/LT05_L1GS_016052_19891104_20170201_01_T2
LC80150532016152LGN01,LC08_L1TP_015053_20160531_20170223_01_T1,LANDSAT_8,OLI_TIRS,2016-05-31,01,T1,2016-05-31T15:54:04.5829260Z,L1TP,15,53,59.28,11.17213,9.06472,-85.08296,-82.99892,1045523123,gs://gcp-public-data-landsat/LC08/01/015/053/LC08_L1TP_015053_20160531_20170223_01_T1
LC80140532018358LGN00,LC08_L1TP_014053_20181224_20181224_01_RT,LANDSAT_8,OLI_TIRS,2018-12-24,01,RT,2018-12-24T15:48:06.8199530Z,L1TP,14,53,44.86,11.17531,9.0587,-83.53443,-81.44133,998633709,gs://gcp-public-data-landsat/LC08/01/014/053/LC08_L1TP_014053_20181224_20181224_01_RT
